47;47.51;(>K5o,44,Q7o);44+,A2+,K2s+,Q3s+,K5o+,J5s+,Q7o+,T6s+,J8o+,96s+,T8o+,86s+,98o,76s
48;48.11;(>K5o,44,J4s);44+,A2+,K2s+,Q2s+,K5o+,J4s+,Q7o+,T6s+,J8o+,96s+,T8o+,86s+,98o,76s
49;48.87;(>K5o,33,65s);33+,A2+,K2s+,Q2s+,K5o+,J4s+,Q7o+,T6s+,J8o+,96s+,T8o+,86s+,98o,76s,65s
50;50.68;(>K5o,33,T7o);33+,A2+,K2s+,Q2s+,K5o+,J4s+,Q7o+,T6s+,J7o+,96s+,T7o+,86s+,98o,76s,65s
51;51.58;(>K4o,33,T7o);33+,A2+,K2s+,Q2s+,K4o+,J4s+,Q7o+,T6s+,J7o+,96s+,T7o+,86s+,98o,76s,65s
52;52.19;(>K4o,33,T5s);33+,A2+,K2s+,Q2s+,K4o+,J4s+,Q7o+,T5s+,J7o+,96s+,T7o+,86s+,98o,75s+,65s
53;53.09;(>K4o,33,Q6o);33+,A2+,K2s+,Q2s+,K4o+,J4s+,Q6o+,T5s+,J7o+,96s+,T7o+,86s+,98o,75s+,65s
54;53.7;(>K4o,33,95s);33+,A2+,K2s+,Q2s+,K4o+,J3s+,Q6o+,T5s+,J7o+,95s+,T7o+,86s+,98o,75s+,65s
55;54.9;(>K4o,33,85s);33+,A2+,K2s+,Q2s+,K4o+,J3s+,Q6o+,T5s+,J7o+,95s+,T7o+,85s+,98o,75s+,65s,87o
56;56.11;(>K4o,33,T4s);33+,A2+,K2s+,Q2s+,K4o+,J3s+,Q6o+,T4s+,J7o+,95s+,T7o+,85s+,97o+,75s+,65s,87o
57;57.01;(>K3o,33,T4s);33+,A2+,K2s+,Q2s+,K3o+,J3s+,Q6o+,T4s+,J7o+,95s+,T7o+,85s+,97o+,75s+,65s,87o
58;58.52;(>K3o,33,Q5o);33+,A2+,K2s+,Q2s+,K3o+,J2s+,Q5o+,T4s+,J7o+,95s+,T7o+,85s+,97o+,75s+,65s,87o,54s
